FOLIO,EDAD,SEXO,NSE,adophomo,matrimonio,Aborto
4167380,29,2,2,3,2,1
4167445,26,2,2,4,4,1
4167463,19,2,3,2,2,1
4167464,26,2,3,5,3,2
4167533,26,1,2,1,1,2
4167543,23,2,2,3,5,5
4167561,21,2,3,5,2,5
4167588,20,2,,4,4,4
4167605,19,1,3,3,3,2
4167608,25,2,2,4,2,4
4167622,29,2,2,5,4,4
4167623,24,1,1,4,5,2
4167624,23,1,1,5,1,5
4167625,23,2,2,5,1,2
4167626,24,2,2,1,5,3
4167652,20,2,3,5,2,
4167663,22,1,2,5,3,4
4167694,29,2,2,1,5,4
4167695,26,1,3,2,3,1
4167728,28,2,3,3,3,
4167828,23,2,3,4,4,4
4168450,21,2,2,3,3,3
4168510,28,1,3,3,4,5
4168511,23,1,2,4,4,2
4168512,22,2,2,4,3,3
4168521,29,1,3,5,4,2
4168522,17,1,3,5,3,3
4168523,25,1,2,5,5,2
4168524,19,1,3,4,4,4
4168525,26,1,2,5,3,3
4168526,20,1,2,5,3,1
4168585,16,2,2,4,4,1
4168706,20,2,2,2,2,1
4168791,19,2,3,5,5,1
4168888,19,2,3,5,4,1
4168891,22,2,3,2,3,3
4168894,16,1,2,5,3,3
4169040,28,2,2,4,3,5
4169113,27,2,2,5,3,1
4169158,26,2,3,3,3,2
4169285,19,1,2,2,3,1
4169286,21,1,2,4,2,4
4169287,18,2,3,4,2,5
4169299,29,2,3,5,4,2
4169349,19,2,3,5,3,2
4169352,22,1,2,5,1,5
4169373,16,2,2,5,3,1
4169380,24,1,2,5,2,1
4169398,27,1,2,4,3,4
4169399,28,2,1,3,3,1
4169400,26,1,2,3,3,2
4169401,20,1,2,4,3,4
4169444,24,1,2,3,2,1
4169465,19,2,2,5,5,4
4169508,27,2,3,3,5,4
4169509,26,1,2,3,3,4
4169512,20,1,2,5,5,
4169515,26,1,2,5,5,1
4169517,26,2,3,5,5,2
4169518,29,1,3,1,3,4
4169671,18,2,2,3,3,5
4169675,26,1,2,2,2,5
4169796,29,2,2,4,1,5
4169798,29,2,2,5,1,4
4169799,17,2,3,3,3,4
4169825,25,2,2,2,4,3
4169831,19,1,,5,3,
4169857,29,2,3,3,4,
4169870,25,2,,,,4
4169876,16,2,3,5,1,4
4169882,28,1,3,4,3,4
4169887,17,1,2,4,5,
4169984,23,2,2,1,2,1
4169992,25,2,2,5,4,3
4169995,19,2,2,2,4,3
4170003,28,2,2,4,2,1
4170004,21,1,2,5,3,2
4170022,20,2,,4,3,1
4170291,23,1,1,5,3,5
4170298,17,1,2,5,5,4
4170299,22,1,2,3,5,4
4170302,24,2,2,3,3,1
4170303,15,1,1,5,5,1
4170315,15,2,2,2,3,1
4170323,27,2,2,4,4,2
4170324,18,1,2,4,1,1
4170325,22,2,2,1,4,5
4170326,23,2,2,1,4,5
4170329,26,1,1,2,5,
4170332,24,1,2,3,3,2
4170334,24,1,2,3,5,3
4170335,24,1,2,5,1,5
4170337,29,1,2,3,5,
4170338,16,1,2,5,3,3
4170339,18,1,2,5,3,4
4170340,23,1,2,5,5,2
4170342,23,1,2,4,2,4
4170343,22,2,2,5,3,
4170344,19,1,2,2,1,1
4170347,19,2,2,5,2,
4170357,25,2,2,4,2,4
4170493,22,2,2,5,3,3
4170516,18,2,2,,4,1
4170527,28,2,2,5,5,1
4170787,17,2,2,4,4,4
4170829,22,1,3,5,1,3
4171038,19,1,3,1,3,2
4171135,25,2,2,3,1,2
4171139,24,2,1,5,3,3
4171209,29,1,2,4,3,1
4171354,20,1,,4,5,2
